# firmware	category	id	title	summary	command template	risk
# Angle-bracket values are required fields. Square-bracket values are optional fields.
bruce	System	bruce-help	Command help	List the commands supported by this build.	help	safe
bruce	System	bruce-info	Device information	Show board, firmware, memory, battery, and feature details.	info	safe
bruce	System	bruce-uptime	Uptime	Show how long the device has been running.	uptime	safe
bruce	System	bruce-date	Date and time	Show the device clock.	date	safe
bruce	System	bruce-memory	Memory status	Show free heap and memory information.	free	safe
bruce	System	bruce-i2c	Scan I2C bus	List devices detected on the I2C bus.	i2c	safe
bruce	System	bruce-options-json	Menu options as JSON	Return the current device menu tree for controller integrations.	optionsJSON	safe
bruce	System	bruce-display	Display snapshot	Dump the current display state.	display [option]	safe
bruce	System	bruce-navigation	Press a device control	Operate a navigation control for a selected duration.	nav <control> [duration]	safe
bruce	System	bruce-run-option	Run menu option	Run a menu option by its numeric identifier.	options <option_index>	safe
bruce	System	bruce-loader	Loader command	Send an application-loader command.	loader <operation> [application]	safe
bruce	Power	bruce-poweroff	Power off	Power down the device.	poweroff	active
bruce	Power	bruce-reboot	Restart device	Restart the device.	reboot	active
bruce	Power	bruce-sleep	Sleep	Put the device into sleep mode.	sleep	active
bruce	Settings	bruce-settings	Show settings	Print the current configuration.	settings	safe
bruce	Settings	bruce-factory-reset	Factory reset	Erase saved settings and return to defaults.	factory_reset	active
bruce	Display	bruce-clock	Show clock	Show the device clock on the display.	clock	safe
bruce	Display	bruce-brightness	Set brightness	Set display brightness.	screen brightness <brightness>	safe
bruce	Display	bruce-color-rgb	Set display color by RGB	Set the primary display color using red, green, and blue values.	screen color rgb <red> <green> <blue>	safe
bruce	Display	bruce-color-hex	Set display color by hex	Set the primary display color using a hexadecimal value.	screen color hex <hex_color>	safe
bruce	Audio	bruce-tone	Play tone	Play a tone at a frequency for a duration.	tone <frequency_hz> <duration_ms>	safe
bruce	Audio	bruce-play	Play song	Play a named or stored song.	play <song>	safe
bruce	Audio	bruce-tts	Speak text	Speak text through supported audio hardware.	tts <text...>	safe
bruce	Wi-Fi	bruce-webui	Start Web UI	Start the Bruce Web UI access point and server.	webui	review
bruce	Wi-Fi	bruce-webui-no-ap	Start Web UI without AP	Start the Web UI server without creating an access point.	webui -noAp	review
bruce	Wi-Fi	bruce-wifi-on	Connect Wi-Fi	Connect to a saved Wi-Fi network, or start AP mode when none is saved.	wifi on	review
bruce	Wi-Fi	bruce-wifi-add	Save Wi-Fi network	Add Wi-Fi credentials to the saved network list.	wifi add <ssid> <password>	review
bruce	Wi-Fi	bruce-wifi-off	Disconnect Wi-Fi	Disconnect Wi-Fi and stop the active Wi-Fi interface.	wifi off	review
bruce	Wi-Fi	bruce-arp	Discover local hosts	Scan the connected local network for hosts.	arp	safe
bruce	Wi-Fi	bruce-listen	Listen for TCP traffic	Start the firmware TCP listener.	listen	safe
